Sample_ID,Date,Year,GenLocn,Latitude,Longitude,MigStatus,Collector,nClusters,Collars
1,5/7/2014,2014,Pattee Canyon,46.86895,-113.9104,Migratory,RD/MB,0,
15,6/18/2014,2014,Deer Creek,46.84587,-113.87551,Migratory,"JMM, MB, EF",12,"34923, 34938"
22,7/1/2014,2014,Deer Creek,46.8241,-113.90193,Migratory,"JMM, MB, EF",10,"34912, 34941"
25,7/14/2014,2014,Deer Creek,46.82145,-113.90024,Migratory,"TH, JS",12,"34912, 34923, 34938, 34941"
34,8/14/2014,2014,Allen Creek,46.78749,-113.84583,Migratory,CJ,10,NA
39,8/29/2014,2014,Allen Creek,46.80849,-113.87782,Migratory,CJ,15,34912
44,9/25/2014,2014,Burnt Fork - Alder Cr,46.46552,-113.84045,Migratory,CJ,11,34929
45,9/25/2014,2014,Head of Allen Creek,46.76622,-113.83851,Migratory,CJ,10,NA
49,10/9/2014,2014,Allen Creek,46.77915,-113.82232,Migratory,CJ,10,34920
112,6/4/2015,2015,Sawmill,46.45262,-113.86921,Migratory,"KB, JM, MD, LS",16,34903
114,6/17/2015,2015,Upper Miller Creek,46.74029,-113.92977,Migratory,CJ,5,NA
121,6/30/2015,2015,E Miller Creek,46.74287,-113.93666,Migratory,CJ,10,"34921, 34930"
122,6/30/2015,2015,W Miller Creek,46.72747,-113.92379,Migratory,CJ,10,34921
131,7/31/2015,2015,Davis Creek,46.75569,-113.95672,Migratory,CJ,10,NA
137,8/27/2015,2015,Miller,46.79952,-113.90181,Migratory,"TH, KB",15,34920
143,9/11/2015,2015,Swartz Cr,46.72363,-113.84372,Migratory,CJ,0,34922
144,9/24/2015,2015,Crystal Ck,46.8339,-113.85265,Migratory,"TH, KB",8,34910
4,5/8/2014,2014,Kolb field,46.70755,-114.06918,Resident,TH,0,
6,5/22/2014,2014,MPG,46.7069,-114.03976,Resident,"JMM, EF, MB",11,"34921, 34928, 34932"
11,6/4/2014,2014,BF forest,46.49705,-113.92995,Resident,"CJ, TH",11,n/a
12,6/6/2014,2014,MPG sainfoin,46.70649,-114.03998,Resident,TH,11,34915
14,6/18/2014,2014,Sapphire floodplain,46.7151,-114.05221,Resident,"JMM, MB, EF",10,"34915, 34928, 34932"
16,6/18/2014,2014,Burnt Fork,46.50175,-113.92716,Resident,"CJ, TH",11,n/a
17,6/19/2014,2014,MPG floodplain,46.70725,-114.03912,Resident,"JMM, MB, EF",10,"34921, 34932"
20,7/1/2014,2014,MPG Ranch,46.71148,-114.04081,Resident,"JMM, MB, EF",10,"34915, 34916, 34928, 34930, 34936"
21,7/1/2014,2014,Sapphire river bottom,46.70735,-114.05083,Resident,"JMM, MB, EF",12,34932
26,7/15/2014,2014,Bolin Ranch,46.5397,-113.9413,Resident,TH,13,"34904, 34918"
28,7/30/2014,2014,MPG sainfoin,46.70837,-114.03807,Resident,TH,11,"34905, 34916, 34936"
32,8/14/2014,2014,MPG alfalfa,46.6859,-114.03638,Resident,TH,13,"34915, 34916, 34921, 34928, 34932, 34934, 34936"
37,8/27/2014,2014,MPG alfalfa,46.68645,-114.03596,Resident,"TH, KP",6,"34905, 34915, 34916, 34921, 34928, 34932, 34934, 34936"
41,9/11/2014,2014,MPG,46.6701,-114.01886,Resident,CJ,11,"34905, 34915, 34916, 34921, 34928, 34930, 34932"
50,10/9/2014,2014,River bottom (Sapphire Ranch),46.72793,-114.05669,Resident,TH,5,"34905, 34915, 34916, 34921, 34930, 34932, 34934, 34936"
105,5/19/2015,2015,East Baldy,46.71381,-113.97131,Resident,CJ,14,34932
109,5/22/2015,2015,MPG/Riverbottom,46.68716,-114.03575,Resident,TH,11,"34905, 34934"
117,6/18/2015,2015,River bottom,46.70924,-114.07183,Resident,"TH, MD, JM",13,"34905, 34915, 34921, 34928, 34934"
124,7/16/2015,2015,Eightmile,46.67085,-113.94889,Resident,"TH, KB",11,"34917, 34918, 34933"
131,7/31/2015,2015,Davis Creek,46.75569,-113.95672,Migratory,CJ,10,NA
138,8/27/2015,2015,MPG,46.67762,-114.01554,Resident,CJ,12,"34905, 34915, 34917, 34924, 34928, 34932, 34933, 34934, 34936, 34939"
140,9/10/2015,2015,MPG,46.67389,-114.0245,Resident,"TH, KB",15,"34915, 34918, 34921, 34924 34928, 34930, 34932, 34933, 34934, 34936"
145,9/24/2015,2015,MPG,46.66974,-114.02115,Resident,"TH, KB",12,"34905, 34915, 34924, 34930, 34932, 34934, 34936"
146,9/24/2015,2015,SF Davis,46.70864,-113.96675,Resident,CJ,8,34930
148,10/6/2015,2015,Baldy,46.70978,-113.9809,Resident,CJ,8,34924
