"IndivYr","SumGDM"
"140040-14",2110653.01572586
"140050-14",3142095.25439495
"140060-14",3322415.33037227
"140070-14",1346670.38120596
"140100-14",1390964.34746095
"140120-14",2295683.75108603
"140290-14",3856977.02070251
"140300-14",2187446.75242339
"140320-14",4157108.56974227
"140340-14",2225219.29013856
"140360-14",3982939.59589778
"140380-14",1591239.84113675
"140400-14",3368360.52169318
"140480-14",3027569.95904143
"140560-14",3278099.91194033
"140600-14",2112497.09356272
"140630-14",3967393.49105344
"140650-14",1345304.88558576
"140680-14",6231553.03586619
"140710-14",4379098.953158
"140800-14",1115440.69981855
"140850-14",4471535.89391417
"140890-14",8558266.09571676
"140900-14",2637521.16263306
"140910-14",4013289.13470236
"140920-14",3590628.54589811
"140940-14",10459393.8982563
"140960-14",4099706.25867367
"140980-14",1198840.48583387
"141000-14",2470430.0589048
"141010-14",2517480.5042726
"141060-14",4176830.62167347
"141070-14",2527294.91290963
"141080-14",3921202.20852047
"141090-14",1260319.23580201
"141100-14",2425588.30274015
"141110-14",5785303.16135748
"141120-14",7678891.53690186
"141130-14",6930068.01466054
"141150-14",1285300.57771562
"141160-14",3071939.3764843
"141490-14",2221383.68044657
"140040-15",1102296.47887312
"140050-15",3150660.45696286
"140060-15",4016824.47016919
"140070-15",1818804.43837385
"140100-15",2354308.65231814
"140120-15",58292.488988999
"140290-15",1290315.81000736
"140300-15",785948.489566316
"140320-15",2004835.47204359
"140340-15",1746210.37150193
"140380-15",1786068.66987735
"140400-15",4268782.36991548
"140480-15",5503498.21862017
"140560-15",2500780.82877826
"140600-15",2699143.09229983
"140630-15",3448857.83254399
"140650-15",5322393.23525712
"140680-15",2895593.21777641
"140710-15",4901219.32525477
"140800-15",777892.5757838
"140850-15",2716595.15634748
"140890-15",2745584.37032143
"140910-15",2040940.17204556
"140940-15",2669846.94773304
"140960-15",3468612.87805193
"140980-15",1350467.55726087
"141000-15",4087773.57851524
"141010-15",2326581.91701631
"141060-15",4011475.39106454
"141070-15",2610414.11323437
"141080-15",4341000.17735783
"141100-15",4108987.88376912
"141120-15",2246549.26801359
"141130-15",5947978.96539441
"141150-15",1434252.09912007
"141160-15",1133185.75624823
"141490-15",2661469.68506309
"150360-15",4819325.0128898
"150920-15",1976818.54721144
"151110-15",3180271.16249751
