"IndivYr","Date","AvgGHerb"
"140040-14",2014-07-01,1.90315975709393
"140040-14",2014-07-02,6.70538608092639
"140040-14",2014-07-03,7.64317852450426
"140040-14",2014-07-04,4.4995978531294
"140040-14",2014-07-05,2.38608850711638
"140040-14",2014-07-06,4.65585770831401
"140040-14",2014-07-07,1.18974581359153
"140040-14",2014-07-08,1.39141987331415
"140040-14",2014-07-09,1.49914536654522
"140040-14",2014-07-10,1.58215494900485
"140040-14",2014-07-11,1.89574685202558
"140040-14",2014-07-12,3.3972990102368
"140040-14",2014-07-13,2.40613949471641
"140040-14",2014-07-14,1.56036098141245
"140040-14",2014-07-15,1.49667364254064
"140040-14",2014-07-16,2.65971350064012
"140040-14",2014-07-17,7.25131420523366
"140040-14",2014-07-18,8.59630665320319
"140040-14",2014-07-19,24.0429006710182
"140040-14",2014-07-20,30.0094186538866
"140040-14",2014-07-21,7.5023615706693
"140040-14",2014-07-22,9.30139324312895
"140040-14",2014-07-23,1.18154041132983
"140040-14",2014-07-24,6.31103527439578
"140040-14",2014-07-25,15.0430484390306
"140040-14",2014-07-26,4.71796849675762
"140040-14",2014-07-27,11.8993207097191
"140040-14",2014-07-28,3.23285762149484
"140040-14",2014-07-29,8.55616849193091
"140040-14",2014-07-30,9.5307398926763
"140040-14",2014-07-31,3.4774021687851
"140040-14",2014-08-01,5.90812901249271
"140040-14",2014-08-02,9.32438902583155
"140040-14",2014-08-03,1.60663190219878
"140040-14",2014-08-04,1.39120369262563
"140040-14",2014-08-05,1.73368601738304
"140040-14",2014-08-06,1.16403701570684
"140040-14",2014-08-07,2.46881776565168
"140040-14",2014-08-08,5.35512624532794
"140040-14",2014-08-09,15.1922306897764
"140040-14",2014-08-10,16.4204747460635
"140040-14",2014-08-11,3.22735647722028
"140040-14",2014-08-12,1.90261716856805
"140040-14",2014-08-13,1.60468279408832
"140040-14",2014-08-14,3.86948503242403
"140040-14",2014-08-15,1.53186187105868
"140040-14",2014-08-16,3.07196508930914
"140040-14",2014-08-17,4.71303309819305
"140040-14",2014-08-18,3.88602052758596
"140040-14",2014-08-19,2.19676411376563
"140040-14",2014-08-20,2.24764032382647
"140040-14",2014-08-21,2.05012571990218
"140040-14",2014-08-22,2.94241945272918
"140040-14",2014-08-23,9.04555581811091
"140040-14",2014-08-24,17.0739955223367
"140040-14",2014-08-25,12.5226368631031
"140040-14",2014-08-26,7.64231938386865
"140040-14",2014-08-27,4.85800109514517
"140040-14",2014-08-28,3.4382316711985
"140040-14",2014-08-29,9.39181141424505
"140040-14",2014-08-30,5.32680087125341
"140040-14",2014-08-31,4.91282826383966
"140050-14",2014-07-01,23.6048552198826
"140050-14",2014-07-02,21.2629627227126
"140050-14",2014-07-03,22.3115592710219
"140050-14",2014-07-04,16.4497550379363
"140050-14",2014-07-05,13.3296231407439
"140050-14",2014-07-06,17.6315354338995
"140050-14",2014-07-07,17.5083301480007
"140050-14",2014-07-08,21.5233810110613
"140050-14",2014-07-09,30.6484095059849
"140050-14",2014-07-10,31.7924672763295
"140050-14",2014-07-11,27.7904569549952
"140050-14",2014-07-12,33.3602013121049
"140050-14",2014-07-13,32.0912818799439
"140050-14",2014-07-14,40.1553127437473
"140050-14",2014-07-15,30.5880036358564
"140050-14",2014-07-16,16.6536896974025
"140050-14",2014-07-17,23.2797632294112
"140050-14",2014-07-18,8.68210655292764
"140050-14",2014-07-19,14.4759891994285
"140050-14",2014-07-20,24.0614908958733
"140050-14",2014-07-21,12.4095897821586
"140050-14",2014-07-22,7.88574182249954
"140050-14",2014-07-23,6.74218509537689
"140050-14",2014-07-24,6.79052436432481
"140050-14",2014-07-25,7.01179498818967
"140050-14",2014-07-26,1.03556705713174
"140050-14",2014-07-27,3.78486946303032
"140050-14",2014-07-28,9.65242545621692
"140050-14",2014-07-29,4.67780584928562
"140050-14",2014-07-30,12.2619525188185
"140050-14",2014-07-31,34.7828143498599
"140050-14",2014-08-01,28.1165462625839
"140050-14",2014-08-02,23.2744928712268
"140050-14",2014-08-03,30.9047901119205
"140050-14",2014-08-04,27.6861027134282
"140050-14",2014-08-05,32.0449701059903
"140050-14",2014-08-06,21.2185968769657
"140050-14",2014-08-07,28.3915711446408
"140050-14",2014-08-08,26.5475186519479
"140050-14",2014-08-09,22.6061159545172
"140050-14",2014-08-10,34.6115046334878
"140050-14",2014-08-11,25.6659994987281
"140050-14",2014-08-12,32.9929673797246
"140050-14",2014-08-13,28.9187653589198
"140050-14",2014-08-14,23.352548653571
"140050-14",2014-08-15,30.962386428052
"140050-14",2014-08-16,27.4032721121743
"140050-14",2014-08-17,25.3006122213006
"140050-14",2014-08-18,29.8219041214622
"140050-14",2014-08-19,26.2953067216
"140050-14",2014-08-20,28.8313990143308
"140050-14",2014-08-21,25.3649694233048
"140050-14",2014-08-22,24.0388877304615
"140050-14",2014-08-23,16.6962670287711
"140050-14",2014-08-24,20.7573181896441
"140050-14",2014-08-25,8.0988947048076
"140050-14",2014-08-26,6.87927860893547
"140050-14",2014-08-27,16.1969751248576
"140050-14",2014-08-28,26.9816242693709
"140050-14",2014-08-29,28.0170523959482
"140050-14",2014-08-30,25.065548115864
"140050-14",2014-08-31,10.0147860129015
"140060-14",2014-07-01,29.5859126124136
"140060-14",2014-07-02,14.6125145216095
"140060-14",2014-07-03,13.7205442617425
"140060-14",2014-07-04,20.3529574316729
"140060-14",2014-07-05,17.0644808760662
"140060-14",2014-07-06,14.1418669616432
"140060-14",2014-07-07,13.8535953564139
"140060-14",2014-07-08,12.8658219163808
"140060-14",2014-07-09,15.3779090959155
"140060-14",2014-07-10,7.69321875687408
"140060-14",2014-07-11,24.7443423207123
"140060-14",2014-07-12,17.3024040653025
"140060-14",2014-07-13,20.2013199777615
"140060-14",2014-07-14,21.0848250779282
"140060-14",2014-07-15,23.8304068616525
"140060-14",2014-07-16,33.1935431554487
"140060-14",2014-07-17,33.2228122954786
"140060-14",2014-07-18,27.4848292496549
"140060-14",2014-07-19,24.4926234637453
"140060-14",2014-07-20,25.6106657766936
"140060-14",2014-07-21,35.1973427465304
"140060-14",2014-07-22,22.753654926197
"140060-14",2014-07-23,24.0006677743934
"140060-14",2014-07-24,21.8511496102069
"140060-14",2014-07-25,20.7145675349508
"140060-14",2014-07-26,31.1771259700654
"140060-14",2014-07-27,22.9132971307051
"140060-14",2014-07-28,28.6316008796942
"140060-14",2014-07-29,19.6554875805457
"140060-14",2014-07-30,27.0094302220149
"140060-14",2014-07-31,26.6863250456019
"140060-14",2014-08-01,22.5419125713563
"140060-14",2014-08-02,24.6313142067437
"140060-14",2014-08-03,30.8965449243418
"140060-14",2014-08-04,42.0766193868451
"140060-14",2014-08-05,26.5065371309027
"140060-14",2014-08-06,24.2848138139654
"140060-14",2014-08-07,22.8122256162248
"140060-14",2014-08-08,35.1171341079724
"140060-14",2014-08-09,26.0599385451001
"140060-14",2014-08-10,24.5194298925857
"140060-14",2014-08-11,23.3593271576877
"140060-14",2014-08-12,29.5924072034571
"140060-14",2014-08-13,27.9113372065593
"140060-14",2014-08-14,45.9006522967068
"140060-14",2014-08-15,28.1474866042231
"140060-14",2014-08-16,43.0949534597807
"140060-14",2014-08-17,20.3897068792891
"140060-14",2014-08-18,23.9873309623652
"140060-14",2014-08-19,30.3465453943069
"140060-14",2014-08-20,24.5082495301881
"140060-14",2014-08-21,35.4967670180242
"140060-14",2014-08-22,43.0273771924973
"140060-14",2014-08-23,35.0119317621816
"140060-14",2014-08-24,28.6340890752437
"140060-14",2014-08-25,26.7603302127672
"140060-14",2014-08-26,31.7835952108316
"140060-14",2014-08-27,29.2415170583037
"140060-14",2014-08-28,29.5470862147764
"140060-14",2014-08-29,32.5812708315892
"140060-14",2014-08-30,31.881492987064
"140060-14",2014-08-31,30.8765278496148
"140070-14",2014-07-01,44.3321293552313
"140070-14",2014-07-02,33.0803240363347
"140070-14",2014-07-03,40.0793932819851
