"IndivYr","Date","AvgGShrub"
"140040-14",2014-07-01,162.551297358765
"140040-14",2014-07-02,8.69039552483539
"140040-14",2014-07-03,8.57107434796588
"140040-14",2014-07-04,18.4815637632161
"140040-14",2014-07-05,8.57291442245434
"140040-14",2014-07-06,51.0495199727102
"140040-14",2014-07-07,8.38923829797478
"140040-14",2014-07-08,25.0656612657262
"140040-14",2014-07-09,5.63304732112897
"140040-14",2014-07-10,11.7216393490973
"140040-14",2014-07-11,4.61973043093523
"140040-14",2014-07-12,15.8182751073987
"140040-14",2014-07-13,7.03087375389483
"140040-14",2014-07-14,116.314861833469
"140040-14",2014-07-15,7.73082677733384
"140040-14",2014-07-16,4.61167799234847
"140040-14",2014-07-17,24.857939832442
"140040-14",2014-07-18,94.5219178976483
"140040-14",2014-07-19,15.8930923748052
"140040-14",2014-07-20,38.6739286278777
"140040-14",2014-07-21,40.4379224544975
"140040-14",2014-07-22,31.2779521396067
"140040-14",2014-07-23,186.250700513376
"140040-14",2014-07-24,94.7775010994036
"140040-14",2014-07-25,41.3876346107295
"140040-14",2014-07-26,167.921598786925
"140040-14",2014-07-27,136.593727045919
"140040-14",2014-07-28,5.6713184507069
"140040-14",2014-07-29,2.08854118030264
"140040-14",2014-07-30,2.31877628100297
"140040-14",2014-07-31,306.506391674154
"140040-14",2014-08-01,237.404035729282
"140040-14",2014-08-02,35.0942655614145
"140040-14",2014-08-03,241.475965027259
"140040-14",2014-08-04,179.914233059975
"140040-14",2014-08-05,159.900484807787
"140040-14",2014-08-06,265.091503522927
"140040-14",2014-08-07,164.39099641602
"140040-14",2014-08-08,89.3486473563367
"140040-14",2014-08-09,24.2039219707306
"140040-14",2014-08-10,73.3231632335076
"140040-14",2014-08-11,192.056766953824
"140040-14",2014-08-12,154.79699922451
"140040-14",2014-08-13,275.63261527681
"140040-14",2014-08-14,81.979717310547
"140040-14",2014-08-15,146.424635907747
"140040-14",2014-08-16,222.641712717175
"140040-14",2014-08-17,153.144901887084
"140040-14",2014-08-18,218.146240157832
"140040-14",2014-08-19,204.762924636034
"140040-14",2014-08-20,180.347646662642
"140040-14",2014-08-21,277.250316537331
"140040-14",2014-08-22,112.757850667962
"140040-14",2014-08-23,104.387835624345
"140040-14",2014-08-24,89.6513485601895
"140040-14",2014-08-25,46.686685772949
"140040-14",2014-08-26,97.0974624937051
"140040-14",2014-08-27,176.219258888368
"140040-14",2014-08-28,284.721927313977
"140040-14",2014-08-29,94.5860865302032
"140040-14",2014-08-30,311.759755589359
"140040-14",2014-08-31,228.133831681283
"140050-14",2014-07-01,18.9746680603249
"140050-14",2014-07-02,16.720645179165
"140050-14",2014-07-03,0.346145159174127
"140050-14",2014-07-04,6.90283339200256
"140050-14",2014-07-05,34.1374381785743
"140050-14",2014-07-06,13.5907187291529
"140050-14",2014-07-07,33.0450835251346
"140050-14",2014-07-08,0.881391977734928
"140050-14",2014-07-09,0.889228876871842
"140050-14",2014-07-10,5.20318503795565
"140050-14",2014-07-11,1.2150491186082
"140050-14",2014-07-12,0.145811951872146
"140050-14",2014-07-13,0.751774415835256
"140050-14",2014-07-14,0.191643713828294
"140050-14",2014-07-15,1.28183470214876
"140050-14",2014-07-16,12.8340811700596
"140050-14",2014-07-17,11.5241212050638
"140050-14",2014-07-18,32.21720461709
"140050-14",2014-07-19,37.763469790231
"140050-14",2014-07-20,10.1684423887046
"140050-14",2014-07-21,13.0212396166238
"140050-14",2014-07-22,26.0836487222399
"140050-14",2014-07-23,22.6523487013991
"140050-14",2014-07-24,27.5678305161581
"140050-14",2014-07-25,96.829365873514
"140050-14",2014-07-26,228.642109043188
"140050-14",2014-07-27,127.316527225689
"140050-14",2014-07-28,83.134259914541
"140050-14",2014-07-29,41.7553087318794
