"AnimalID","Age","MAXFAT","RUMP","PSPB","Chest","girth","LactStatus"
141080,8,0.94,4,"Pregnant",168,163.3436,"No"
140100,9,0.82,3.75,"Pregnant",170,165.105,"No"
141010,7,0.3,2.75,"Pregnant",159,155.4173,"Yes"
140320,7,1.16,3.75,"Pregnant",NA,NA,"No"
140920,9,0.32,2.75,"High Recheck",172,166.8664,"No"
140710,4,0.54,3.75,"Pregnant",170,165.105,"No"
140040,8,0.42,3.5,"Pregnant",160,156.298,"Yes"
140290,8,0.8,4,"Pregnant",167,162.4629,"No"
140630,5,1.76,4.5,"Pregnant",183,176.5541,"No"
140050,8,1.1,4,"Pregnant",171,165.9857,"No"
140940,4,NA,4,"Pregnant",168,163.3436,"No"
140340,7,0.22,2.75,"Pregnant",165,160.7015,"Yes"
140680,10,0.48,3.5,"Pregnant",176,170.3892,"No"
140300,6,0.94,3.75,"Open",166,161.5822,"No"
140360,3,0.84,4,"Pregnant",165,160.7015,"No"
140980,6,0.72,4,"Pregnant",172,166.8664,"No"
141100,6,0.7,3.5,"Pregnant",156,156,"No"
140930,5,1.24,4,"Pregnant",155,155,"No"
140060,3,1.14,4,"Pregnant",149,149,"No"
140650,7,0.38,2.75,"Pregnant",158,158,"Yes"
141090,3,0.62,3.5,"Pregnant",158,158,"No"
140070,10,NA,NA,"Pregnant",158,158,NA
140380,6,0.36,3,"Pregnant",150,150,"No"
141150,6,1.44,3.75,"Pregnant",NA,NA,"No"
140120,8,0.36,2.75,"Open",154,154,"Yes"
142090,4,0.52,3.75,"Pregnant",158,158,"Yes"
140600,7,0.98,4,"Pregnant",160,160,"No"
141250,4,0.64,3.5,"Pregnant",153,153,"Yes"
140910,4,0.46,3.75,"Pregnant",155,155,"No"
141120,8,0.34,3,"Pregnant",NA,NA,"No"
140560,10,0.52,3.75,"Pregnant",169,169,"No"
141160,6,0.7,3.75,"Pregnant",168,168,"No"
140850,4,0.86,3.75,"Pregnant",159,159,"No"
141110,7,1.08,4,"Pregnant",162,162,"No"
141130,3,0.52,3.75,"Pregnant",NA,NA,"Yes"
141490,NA,1,4,"Pregnant",NA,NA,"No"
140900,7,0.4,2.5,"Pregnant",157,157,"Yes"
141070,6,1.18,4,"Pregnant",164,164,"No"
140480,6,1.28,4,"Pregnant",173,167.7471,"No"
141060,6,1.16,4.25,"Pregnant",178,172.1506,"Yes"
140960,8,0.68,3.75,"Pregnant",170,165.105,"Yes"
140400,NA,0.5,2.75,"Pregnant",173,167.7471,"Yes"
140800,10,0.67,3.5,"Open",157,153.6559,"No"
140890,8,1.34,3.75,"Pregnant",167,162.4629,"Yes"
141000,5,1.08,4.25,"Pregnant",173,167.7471,"Unknown"
