"IndivYr","HRarea"
"140040-14",5822.19543486633
"140040-15",2610.1426290123
"140050-14",5229.73654834862
"140050-15",5827.89332448425
"140060-14",8559.15125258942
"140060-15",7178.77682254562
"140070-14",2545.61939021072
"140070-15",3299.11846318207
"140100-14",2725.50423658371
"140100-15",6700.365576931
"140120-14",10076.5213873875
"140120-15",623.891371362686
"140290-14",6212.56063095856
"140290-15",4336.22500858421
"140300-14",2651.6541154068
"140300-15",1959.94695749588
"140320-14",7041.29775593452
"140320-15",9681.42354753418
"140340-14",2706.71331337891
"140340-15",3206.01227580872
"140360-14",7259.38047987556
"140380-14",3366.96979134407
"140380-15",3305.05693942299
"140400-14",6672.76711927185
"140400-15",7441.06584128189
"140480-14",7953.72334178162
"140480-15",9479.07091728821
"140560-14",3640.16617046509
"140560-15",3338.48683044205
"140600-14",4045.11457408829
"140600-15",5817.01401049042
"140630-14",6166.00678782883
"140630-15",6058.7605169487
"140650-14",2536.84665929527
"140650-15",8503.94879734192
"140680-14",8763.55133818283
"140680-15",3701.10768200302
"140710-14",7305.57774316483
"140710-15",8743.01001275635
"140800-14",958.80386761322
"140800-15",663.594270330048
"140850-14",5989.75271643906
"140850-15",4084.57769777451
"140890-14",10033.6946399918
"140890-15",4514.79520763321
"140900-14",4910.78082543335
"140910-14",4987.59605536118
"140910-15",3251.55034426727
"140920-14",6506.67602602348
"140940-14",15162.2245304047
"140940-15",4445.4297057991
"140960-14",6707.42143733521
"140960-15",7308.16212174911
"140980-14",4921.93098609467
"140980-15",2330.46294768639
"141000-14",6591.55330961685
"141000-15",4833.08100061722
"141010-14",6789.74963044014
"141010-15",5380.79268881531
"141060-14",7263.44284812775
"141060-15",8165.19371109543
"141070-14",5000.69585268173
"141070-15",4467.50979397354
"141080-14",7304.92022350769
"141080-15",8460.16050795517
"141090-14",2636.78785047913
"141100-14",7540.66463836517
"141100-15",7244.37059603958
"141110-14",7392.92161033401
"141120-14",10073.8282812416
"141120-15",5166.58983771286
"141130-14",6652.88401117325
"141130-15",10885.8106283852
"141150-14",2522.0628030777
"141150-15",2131.81850962524
"141160-14",3515.72608208618
"141160-15",3473.0592401268
"141490-14",4025.0811156723
"141490-15",4587.29028694534
"150360-15",5367.67329745712
"150920-15",4096.04296139793
"151110-15",5823.09513582916
