SEASON,CaptureEvent,SampleID,Herd,Age,LactStatus,girthmass,adjmass,IFBF,preg_pspb
SPR,Sapphire 2014,140027,HD204 North,6,No,239.802,173.0159706,7.260082294,1
SPR,Sapphire 2014,140034,HD204 North,5,No,237.025,170.665851,9.284256319,1
SPR,Sapphire 2014,140039,HD204 North,3,No,220.363,162.0426496,9.089089089,1
SPR,Sapphire 2014,140051,HD240,7,Yes,245.356,176.2103762,6.729838296,1
SPR,Sapphire 2014,140052,HD240,3,No,245.356,176.1215301,6.935473649,1
SPR,Sapphire 2014,140037,HD240,10,,245.356,,,1
SPR,Sapphire 2014,140038,HD240,6,No,223.14,164.1100132,7.316940753,1
SPR,Sapphire 2014,140047,HD204 South,6,No,,,10.5991,1
SPR,Sapphire 2014,140036,HD204 South,8,Yes,234.248,170.2582732,6.710628485,0
SPR,Sapphire 2014,140060,HD204 North,4,Yes,245.356,176.2781473,6.570881125,1
SPR,Sapphire 2014,140018,HD204 North,7,No,250.91,178.4768898,8.20349831,1
SPR,Sapphire 2014,140019,HD204 North,4,Yes,231.471,168.6352971,7.085770044,1
SPR,Sapphire 2014,140016,HD204 North,4,No,237.025,171.8705813,6.384885409,1
SPR,Sapphire 2014,140017,HD204 North,8,No,,,7.536775,1
SPR,Sapphire 2014,140057,HD204 North,10,No,275.903,192.7656858,6.450307748,1
SPR,Sapphire 2014,140074,HD204 North,6,No,273.126,190.901084,7.078414277,1
SPR,Sapphire 2014,140055,HD204 North,4,No,248.133,177.2106039,7.790796019,1
SPR,Sapphire 2014,140065,HD204 North,7,No,256.464,181.239348,8.516164147,1
SPR,Sapphire 2014,140070,HD204 North,3,Yes,,,7.1698,1
SPR,Sapphire 2014,140007,HD204 North,,No,,,8.959,1
SPR,Sapphire 2014,140073,HD204 North,7,Yes,242.579,174.9576116,6.142695964,1
SPR,Sapphire 2014,140008,HD204 North,6,No,262.018,183.9829328,8.821775057,1
SPR,Sapphire 2014,140023,HD204 North,6,No,272.4236967,189.2737013,9.076155745,1
SPR,Sapphire 2014,140045,HD204 North,6,Yes,284.6522162,196.0359186,8.566667539,1
SPR,Sapphire 2014,140026,HD204 North,8,Yes,265.086585,186.6204824,7.049136441,1
SPR,Sapphire 2014,140030,HD204 North,,Yes,272.4236967,190.9258053,6.394201463,1
SPR,Sapphire 2014,140022,HD204 North,10,No,233.2924343,169.5707673,7.187721394,0
SPR,Sapphire 2014,140021,HD204 North,8,Yes,257.7494733,181.3959576,9.427563623,1
SPR,Sapphire 2014,140024,HD204 North,5,Unknown,272.4236967,189.7187912,8.38847516,1
SPR,Sapphire 2014,140040,HD204 North,8,No,260.1951772,183.4976013,7.991302813,1
SPR,Sapphire 2014,140028,HD204 South,9,No,265.086585,186.3467704,7.537929237,1
SPR,Sapphire 2014,140033,HD204 South,7,Yes,238.1838421,172.41541,6.59316305,1
SPR,Sapphire 2014,140032,HD204 South,7,No,,,9.5554,1
SPR,Sapphire 2014,140044,HD204 South,9,No,269.9779928,189.4987763,6.590042304,0
SPR,Sapphire 2014,140049,HD204 North,4,No,265.086585,186.8867125,6.560343644,1
SPR,Sapphire 2014,140061,HD204 South,8,Yes,240.629546,173.8743028,6.223059964,1
SPR,Sapphire 2014,140015,HD204 South,8,No,257.7494733,182.4581624,7.512351416,1
SPR,Sapphire 2014,140050,HD204 South,5,No,296.8807357,200.9439144,10.44214193,1
SPR,Sapphire 2014,140041,HD204 South,8,No,267.5322889,187.0758846,8.495814135,1
SPR,Sapphire 2014,140059,HD204 North,4,No,260.1951772,180.1227008,13.292,1
SPR,Sapphire 2014,140072,HD204 North,7,Yes,252.8580655,179.9120507,7.399225,1
SPR,Sapphire 2014,140013,HD204 North,10,No,279.7608084,194.9333735,6.301052223,1
SPR,Sapphire 2014,140068,HD204 North,6,No,255.3037694,180.8903571,8.026735259,0
SPR,Sapphire 2014,140048,HD204 South,3,No,252.8580655,179.7692185,7.686356506,1
SPR,Sapphire 2014,140003,HD204 South,6,No,269.9779928,189.1691889,7.16318412,1
