"IndivYr","AnimalID","VI95","VI50","MigRank","MigStatus","Date","AvgGHerb","AvgGShrub","AvgDE","DEclass","IFBF","preg_pspb","LactStatus","girthmass","adjmass","Age","HRarea"
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-01",0.20918190889856,1.99863261951219,2.44257527657638,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-02",0.80751789632021,0.665045075395058,2.65852547853526,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-03",0.786847180004753,0.585050161209682,2.62669323685908,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-04",0.423350223324104,0.973771170116831,2.46350833601458,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-05",0.310216512925077,0.842887826862599,2.39841428515105,"Poor",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-06",0.475361639312248,1.46836236794164,2.45417537626606,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-07",0.065520909934796,0.893850511313984,2.46028122363007,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-08",0.0364160762723161,0.888152461314564,2.42397751194943,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-09",0.15071522269876,0.69093543545924,2.52578206190329,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-10",0.11925213582242,0.95860335386862,2.50169931301301,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-11",0.23701926402386,0.640563488201184,2.50059511803826,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-12",0.344236287940322,0.789253979268027,2.55451111873591,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-13",0.349305406415448,0.722811313053483,2.49642261155917,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-14",0.142197743079058,1.23004666488497,2.40941550309041,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-15",0.173402623078551,0.857376138061085,2.48478651652996,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-16",0.359242796802818,0.654903380831859,2.51783069743555,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-17",0.759256425186308,0.750928609537073,2.58496855261831,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-18",0.801906270964974,1.45436142133961,2.71574996192046,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-19",1.31265412842851,0.0810893150835998,2.82630745826063,"Good",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-20",1.331256165531,-0.603236151716662,2.87407248990142,"Good",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-21",0.675489961671754,1.37137610226343,2.56739339246157,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-22",0.76756732309631,1.20899505915844,2.60940709770483,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-23",0.036958457275473,2.11160018738544,2.46813783532361,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-24",0.454252268834025,1.52087777417797,2.57093338456786,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-25",1.03377324894885,1.09837433683353,2.72390197588517,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-26",0.376503104331314,1.77542205663956,2.51745180531707,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-27",0.876667264822766,1.50932381227124,2.71991249646215,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-28",0.390854805616918,0.75360122294472,2.45316643267351,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-29",0.870500096914377,0.181092720829061,2.68382675232453,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
"140040-14",140040,0.0491154945671427,0,41,"Intermediate","2014-07-30",0.971577842693032,0.276078802145018,2.73471853821566,"Marginal",6.223059964,1,"Yes",240.629546,173.8743028,8,5822.1954348671
