"IndivYr","AnimalID","VI95","VI50","Dist","MigStatus","MigRank","Date","AvgDE","DEclass","AvgGHerb","AvgGShrub","AvgGForage","IFBF","preg_pspb","LactStatus","girthmass","adjmass","Age","HRarea"
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-07-15,2.48345042490385,"Marginal",1.49667364254064,7.73082677733384,9.22750041987448,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-07-16,2.55354256114845,"Marginal",2.65971350064012,4.61167799234847,7.27139149298859,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-07-17,2.69781944184095,"Marginal",7.25131420523366,24.857939832442,32.1092540376757,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-07-18,2.70851522715925,"Marginal",8.59630665320319,94.5219178976483,103.118224550851,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-07-19,2.82095174440711,"Good",24.0429006710182,15.8930923748052,39.9359930458234,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-07-20,2.86831968717733,"Good",30.0094186538866,38.6739286278777,68.6833472817643,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-07-21,2.55898718108962,"Marginal",7.5023615706693,40.4379224544975,47.9402840251668,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-07-22,2.60107235056574,"Marginal",9.30139324312895,31.2779521396067,40.5793453827357,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-07-23,2.46335140481271,"Marginal",1.18154041132983,186.250700513376,187.432240924706,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-07-24,2.56345981738122,"Marginal",6.31103527439578,94.7775010994036,101.088536373799,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-07-25,2.71484235743239,"Marginal",15.0430484390306,41.3876346107295,56.4306830497601,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-07-26,2.50972314889835,"Marginal",4.71796849675762,167.921598786925,172.639567283683,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-07-27,2.71200100427438,"Marginal",11.8993207097191,136.593727045919,148.493047755638,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-07-28,2.44679521521723,"Marginal",3.23285762149484,5.6713184507069,8.90417607220174,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-07-29,2.7779260167273,"Good",8.55616849193091,2.08854118030264,10.6447096722335,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-07-30,2.87006879745802,"Good",9.5307398926763,2.31877628100297,11.8495161736793,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-07-31,2.50136311629889,"Marginal",3.4774021687851,306.506391674154,309.983793842939,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-08-01,2.52759741815739,"Marginal",5.90812901249271,237.404035729282,243.312164741775,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-08-02,2.67268244826971,"Marginal",9.32438902583155,35.0942655614145,44.4186545872461,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-08-03,2.47608188293419,"Marginal",1.60663190219878,241.475965027259,243.082596929458,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-08-04,2.38436262783415,"Poor",1.39120369262563,179.914233059975,181.305436752601,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-08-05,2.46091895409735,"Marginal",1.73368601738304,159.900484807787,161.63417082517,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-08-06,2.4046526096075,"Marginal",1.16403701570684,265.091503522927,266.255540538634,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-08-07,2.51994800564188,"Marginal",2.46881776565168,164.39099641602,166.859814181672,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-08-08,2.58576730961365,"Marginal",5.35512624532794,89.3486473563367,94.7037736016646,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-08-09,2.69996735075098,"Marginal",15.1922306897764,24.2039219707306,39.396152660507,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-08-10,2.78249799385359,"Good",16.4204747460635,73.3231632335076,89.7436379795711,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-08-11,2.51228841117371,"Marginal",3.22735647722028,192.056766953824,195.284123431044,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-08-12,2.44434923222737,"Marginal",1.90261716856805,154.79699922451,156.699616393078,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41,2014-08-13,2.44093147130056,"Marginal",1.60468279408832,275.63261527681,277.237298070898,6.223059964,1,"Yes",240.629546,173.8743028,8,43.536570678112
