"IndivYr","nExc","nGood","nMarg","nPoor","AnimalID","VI95","VI50","Dist","MigStatus","MigRank","IFBF","preg_pspb","LactStatus","girthmass","adjmass","Age","HRarea","nDaysAg"
"140630-15",32,10,6,0,140630,0.342402338810861,0.181275832462969,3583.32781829195,"Resident",1,10.44214193,1,"No",296.8807357,200.9439144,5,64.5710618634949,39
"151110-15",39,7,2,0,151110,0.363711787347126,0.170999540725401,3866.6840372177,"Resident",2,NA,NA,NA,NA,NA,NA,57.9045248285675,46
"140920-14",0,19,29,0,140920,0.377028424802391,0.14083015073343,4150.28273218784,"Resident",3,6.590042304,0,"No",269.9779928,189.4987763,9,74.7652554427528,24
"140050-15",37,10,1,0,140050,0.294401021534049,0.128346689199866,3424.41455611897,"Resident",4,8.495814135,1,"No",267.5322889,187.0758846,8,57.6053565337029,46
"140480-15",34,11,3,0,140480,0.42066734927178,0.0570603338913298,1360.05238064426,"Resident",5,9.076155745,1,"No",272.4236967,189.2737013,6,105.669434403053,33
"140480-14",15,32,1,0,140480,0.398356398725064,0.0488272716252362,2212.52496154652,"Resident",6,9.076155745,1,"No",272.4236967,189.2737013,6,67.6960197046356,29
"140290-15",38,10,0,0,140290,0.211254463274621,0.0371933017776431,3680.40729194,"Resident",7,7.512351416,1,"No",257.7494733,182.4581624,8,31.0276396045952,35
"141080-15",28,13,7,0,141080,0.382889344739588,0.0332108276337883,1992.41053589824,"Resident",8,7.991302813,1,"No",260.1951772,183.4976013,8,89.9183402813339,28
"140100-14",1,20,25,2,140100,0.340298137381895,0.0330754301805674,3912.52689769456,"Resident",9,7.537929237,1,"No",265.086585,186.3467704,9,29.7984445613632,24
"140710-14",11,16,20,1,140710,0.2183422245468,0.0248799668118976,4815.99247573817,"Resident",10,6.560343644,1,"No",265.086585,186.8867125,4,74.9823341242599,24
"150920-15",0,29,19,0,150920,0.266377949064494,0.0196258295418884,4390.88263094468,"Resident",11,NA,NA,NA,NA,NA,NA,44.1694418462715,28
"140400-14",16,19,13,0,140400,0.251658167081956,0.0169650906756491,4239.12291916344,"Resident",12,6.394201463,1,"Yes",272.4236967,190.9258053,NA,65.0435596016617,29
"140940-14",9,13,26,0,140940,0.270734479807201,0.0153756529984334,5497.78520941984,"Resident",13,13.292,1,"No",260.1951772,180.1227008,4,130.177041633781,13
"140960-14",10,18,20,0,140960,0.246122394262993,0.0113727244520873,3996.48337220381,"Resident",14,7.049136441,1,"Yes",265.086585,186.6204824,8,73.0893868336258,22
