"IndivYr","AnimalID","VI95","VI50","Look","MigStatus","AvgGDM","Age","MAXFAT","RUMP","PSPB","Chest","girth","LactStatus"
"141080-14",141080,0.222803212062637,0,"Resident","Intermediate",51.3790558310746,8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident","Resident",40.4157435108388,8,0.94,4,"Pregnant",168,163.3436,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Intermediate","Resident",49.0319990651759,9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-15",140100,0.060608786750739,0,"Intermediate","Intermediate",54.2851776907285,9,0.82,3.75,"Pregnant",170,165.105,"No"
"141010-14",141010,0.00829611330667198,0,"Intermediate","Intermediate",43.6907727229067,7,0.3,2.75,"Pregnant",159,155.4173,"Yes"
"141010-15",141010,0.0541413197242569,0,"Intermediate","Intermediate",43.6317265025628,7,0.3,2.75,"Pregnant",159,155.4173,"Yes"
"140320-14",140320,0.0152514952577481,0,"Intermediate","Intermediate",49.8001920415579,7,1.16,3.75,"Pregnant",NA,NA,"No"
"140320-15",140320,0.0143990455264874,0,"Intermediate","Intermediate",47.4247261255242,7,1.16,3.75,"Pregnant",NA,NA,"No"
"140920-14",140920,0.375239178947381,0.140762154785523,"Resident","Resident",46.0703172869451,9,0.32,2.75,"High Recheck",172,166.8664,"No"
"140710-14",140710,0.218104308833388,0.0248799668118976,"Resident","Resident",57.230030332335,4,0.54,3.75,"Pregnant",170,165.105,"No"
"140710-15",140710,0.288662667133619,0,"Resident","Intermediate",47.8818786901691,4,0.54,3.75,"Pregnant",170,165.105,"No"
"140040-14",140040,0.0491154945671427,0,"Migrant","Intermediate",42.1195795406964,8,0.42,3.5,"Pregnant",160,156.298,"Yes"
"140040-15",140040,0,0,"Migrant","Migrant",46.5457638321734,8,0.42,3.5,"Pregnant",160,156.298,"Yes"
"140290-14",140290,0.105414772764206,0.00854118609670585,"Intermediate","Resident",56.4355823769623,8,0.8,4,"Pregnant",167,162.4629,"No"
"140290-15",140290,0.211046343489321,0.0371505373061335,"Intermediate","Resident",39.1871892279772,8,0.8,4,"Pregnant",167,162.4629,"No"
"140630-14",140630,0.194133078908017,0,"Resident","Intermediate",44.4990659957355,5,1.76,4.5,"Pregnant",183,176.5541,"No"
"140630-15",140630,0.342377787417277,0.181378160245829,"Resident","Resident",42.782458108977,5,1.76,4.5,"Pregnant",183,176.5541,"No"
"140050-14",140050,0.192584141435337,0,"Intermediate","Intermediate",44.2887468898976,8,1.1,4,"Pregnant",171,165.9857,"No"
"140050-15",140050,0.29480159718505,0.128695912545363,"Intermediate","Resident",43.1810786402638,8,1.1,4,"Pregnant",171,165.9857,"No"
"140940-14",140940,0.2707172919668,0.0153756529984334,"Resident","Resident",67.0308970440796,4,NA,4,"Pregnant",168,163.3436,"No"
"140940-15",140940,0.217646466394734,0,"Resident","Intermediate",49.4932434599938,4,NA,4,"Pregnant",168,163.3436,"No"
"140340-14",140340,0,0,"Migrant","Migrant",86.6497107489634,7,0.22,2.75,"Pregnant",165,160.7015,"Yes"
"140340-15",140340,0,0,"Migrant","Migrant",83.9379123676333,7,0.22,2.75,"Pregnant",165,160.7015,"Yes"
"140680-14",140680,0.0233887706899153,0,"Intermediate","Intermediate",72.4070353583801,10,0.48,3.5,"Pregnant",176,170.3892,"No"
"140680-15",140680,0.0179146904710399,0,"Intermediate","Intermediate",47.250614244831,10,0.48,3.5,"Pregnant",176,170.3892,"No"
"140300-14",140300,0,0,"Migrant","Migrant",68.2692458459254,6,0.94,3.75,"Open",166,161.5822,"No"
"140300-15",140300,0,0,"Migrant","Migrant",74.8963576568211,6,0.94,3.75,"Open",166,161.5822,"No"
"140360-14",140360,0.0679502016497879,0,"Intermediate","Intermediate",44.6447553276628,3,0.84,4,"Pregnant",165,160.7015,"No"
"140980-14",140980,0.0308465593678734,0,"Intermediate","Intermediate",36.2467156207571,6,0.72,4,"Pregnant",172,166.8664,"No"
"140980-15",140980,0,0,"Intermediate","Migrant",52.1803101622002,6,0.72,4,"Pregnant",172,166.8664,"No"
"141100-14",141100,0.307021210186631,0.00830038383136555,"Resident","Resident",41.6002160990612,6,0.7,3.5,"Pregnant",156,156,"No"
"141100-15",141100,0.254680515429709,0,"Resident","Intermediate",48.1753159480985,6,0.7,3.5,"Pregnant",156,156,"No"
NA,140930,NA,NA,NA,NA,NA,5,1.24,4,"Pregnant",155,155,"No"
"140060-14",140060,0.00272568439954882,0,"Intermediate","Intermediate",39.9121206916837,3,1.14,4,"Pregnant",149,149,"No"
"140060-15",140060,0.202948982023999,0.00732253936428673,"Intermediate","Resident",41.1203287712977,3,1.14,4,"Pregnant",149,149,"No"
"140650-14",140650,0.623359725030806,0.196826805523211,"Resident","Resident",47.229598411201,7,0.38,2.75,"Pregnant",158,158,"Yes"
"140650-15",140650,0.346283530132296,0.062658849825675,"Resident","Resident",41.4333863473664,7,0.38,2.75,"Pregnant",158,158,"Yes"
"141090-14",141090,0.649889003331448,0.209219332735596,"Resident","Resident",45.8963421235558,3,0.62,3.5,"Pregnant",158,158,"No"
