"IndivYr","AnimalID","VI95","VI50","Look","MigStatus","SumGDM"
"140040-14",140040,0.0491154945671427,0,"Migrant","Intermediate",2110653.01572586
"140050-14",140050,0.192584141435337,0,"Intermediate","Intermediate",3142095.25439495
"140060-14",140060,0.00272568439954882,0,"Intermediate","Intermediate",3322415.33037227
"140070-14",140070,0.671602567227348,0.264551067670805,"Resident","Resident",1346670.38120596
"140100-14",140100,0.340505510446759,0.0330160766632954,"Intermediate","Resident",1390964.34746095
"140120-14",140120,0.0369568752564337,0,"Migrant","Intermediate",2295683.75108603
"140290-14",140290,0.105414772764206,0.00854118609670585,"Intermediate","Resident",3856977.02070251
"140300-14",140300,0,0,"Migrant","Migrant",2187446.75242339
"140320-14",140320,0.0152514952577481,0,"Intermediate","Intermediate",4157108.56974227
"140340-14",140340,0,0,"Migrant","Migrant",2225219.29013856
"140360-14",140360,0.0679502016497879,0,"Intermediate","Intermediate",3982939.59589778
"140380-14",140380,0.539894351514769,0.129077026701285,"Resident","Resident",1591239.84113675
"140400-14",140400,0.251280377151462,0.0169272810202229,"Resident","Resident",3368360.52169318
"140480-14",140480,0.398117445599122,0.0488011203604596,"Resident","Resident",3027569.95904143
"140560-14",140560,0,0,"Switch","Migrant",3278099.91194033
"140600-14",140600,0.032563931451898,0,"Resident","Intermediate",2112497.09356272
"140630-14",140630,0.194133078908017,0,"Resident","Intermediate",3967393.49105344
"140650-14",140650,0.623359725030806,0.196826805523211,"Resident","Resident",1345304.88558576
"140680-14",140680,0.0233887706899153,0,"Intermediate","Intermediate",6231553.03586619
"140710-14",140710,0.218104308833388,0.0248799668118976,"Resident","Resident",4379098.953158
"140800-14",140800,0,0,"Switch","Migrant",1115440.69981855
"140850-14",140850,0,0,"Migrant","Migrant",4471535.89391417
"140890-14",140890,0.0285537516888567,0,"Intermediate","Intermediate",8558266.09571676
"140900-14",140900,0.103499715421687,0,"Intermediate","Intermediate",2637521.16263306
"140910-14",140910,0,0,"Intermediate","Migrant",4013289.13470236
"140920-14",140920,0.375239178947381,0.140762154785523,"Resident","Resident",3590628.54589811
"140940-14",140940,0.2707172919668,0.0153756529984334,"Resident","Resident",10459393.8982563
"140960-14",140960,0.245799798333959,0.0113511849738838,"Resident","Resident",4099706.25867367
"140980-14",140980,0.0308465593678734,0,"Intermediate","Intermediate",1198840.48583387
"141000-14",141000,0,0,"Intermediate","Migrant",2470430.0589048
"141010-14",141010,0.00829611330667198,0,"Intermediate","Intermediate",2517480.5042726
"141060-14",141060,0.259212537869625,0,"Resident","Intermediate",4176830.62167347
"141070-14",141070,0.064504728048975,0,"Resident","Intermediate",2527294.91290963
"141080-14",141080,0.222803212062637,0,"Resident","Intermediate",3921202.20852047
"141090-14",141090,0.649889003331448,0.209219332735596,"Resident","Resident",1260319.23580201
"141100-14",141100,0.307021210186631,0.00830038383136555,"Resident","Resident",2425588.30274015
"141110-14",141110,0.0277653675480775,0,"Migrant","Intermediate",5785303.16135748
