"IndivYr","AnimalID","VI95","VI50","Dist","MigStatus","MigRank"
"140630-15",140630,0.342402338810861,0.181275832462969,3583.32781829195,"Resident",1
"151110-15",151110,0.363711787347126,0.170999540725401,3866.6840372177,"Resident",2
"140920-14",140920,0.377028424802391,0.14083015073343,4150.28273218784,"Resident",3
"140050-15",140050,0.294401021534049,0.128346689199866,3424.41455611897,"Resident",4
"140480-15",140480,0.42066734927178,0.0570603338913298,1360.05238064426,"Resident",5
"140480-14",140480,0.398356398725064,0.0488272716252362,2212.52496154652,"Resident",6
"140290-15",140290,0.211254463274621,0.0371933017776431,3680.40729194,"Resident",7
"141080-15",141080,0.382889344739588,0.0332108276337883,1992.41053589824,"Resident",8
"140100-14",140100,0.340298137381895,0.0330754301805674,3912.52689769456,"Resident",9
"140710-14",140710,0.2183422245468,0.0248799668118976,4815.99247573817,"Resident",10
"150920-15",150920,0.266377949064494,0.0196258295418884,4390.88263094468,"Resident",11
"140400-14",140400,0.251658167081956,0.0169650906756491,4239.12291916344,"Resident",12
"140940-14",140940,0.270734479807201,0.0153756529984334,5497.78520941984,"Resident",13
"140960-14",140960,0.246122394262993,0.0113727244520873,3996.48337220381,"Resident",14
"140290-14",140290,0.105671888340112,0.00856915687902993,6397.54727444309,"Resident",15
"141490-14",141490,0.102364274360171,0.00838775799338732,6903.522643464,"Resident",16
"141100-14",141100,0.307528913301135,0.00832032583834835,3784.58661158446,"Resident",17
"141060-15",141060,0.195343407604389,0.00703139511123541,2672.51169744871,"Resident",18
"140710-15",140710,0.288356282630784,0,2123.42352947323,"Intermediate",19
"140400-15",140400,0.271641949027871,0,2246.04973318716,"Intermediate",20
"140960-15",140960,0.26316725453359,0,2281.57593282036,"Intermediate",21
"141060-14",141060,0.259419610299899,0,3962.80263126991,"Intermediate",22
"141100-15",141100,0.254073564052576,0,2827.98416102576,"Intermediate",23
"141080-14",141080,0.222952025266496,0,3563.31771959519,"Intermediate",24
"140940-15",140940,0.217801735056471,0,2295.27781402585,"Intermediate",25
"141070-15",141070,0.217371419683334,0,2410.58764438729,"Intermediate",26
"140060-15",140060,0.202266159970514,0,3084.53160416077,"Intermediate",27
"140630-14",140630,0.194363103148964,0,4083.85687702462,"Intermediate",28
"140050-14",140050,0.192758056802563,0,2690.65801785665,"Intermediate",29
"141130-15",141130,0.169515323882703,0,6989.75185012584,"Intermediate",30
"140600-15",140600,0.162888345278918,0,4808.76425496457,"Intermediate",31
"140890-15",140890,0.158157275012066,0,3920.15424075321,"Intermediate",32
"141490-15",141490,0.155441014444729,0,4913.81133417087,"Intermediate",33
"140900-14",140900,0.102731130607334,0,6740.41911430081,"Intermediate",34
"140560-15",140560,0.0980543457827112,0,5643.60475968729,"Intermediate",35
"140360-14",140360,0.0680328927421663,0,7373.85278793452,"Intermediate",36
"141070-14",141070,0.0646196142789874,0,6069.63167805865,"Intermediate",37
"140850-15",140850,0.0619882380879555,0,3999.18054301949,"Intermediate",38
"140100-15",140100,0.0606568613517085,0,4419.50042204328,"Intermediate",39
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40
"140040-14",140040,0.0491327025579299,0,7240.57976700453,"Intermediate",41
"140120-14",140120,0.0370507411400248,0,7058.90711248954,"Intermediate",42
"140600-14",140600,0.0326098677416917,0,8027.38675010501,"Intermediate",43
"140980-14",140980,0.0308680880611108,0,6801.6529376382,"Intermediate",44
"140890-14",140890,0.0285764492924241,0,9674.46074215174,"Intermediate",45
"141110-14",141110,0.0277433454821688,0,7791.66462794782,"Intermediate",46
"140680-14",140680,0.0233887706899153,0,8870.88267706579,"Intermediate",47
"140910-15",140910,0.019432312770428,0,6234.85318776835,"Intermediate",48
"140680-15",140680,0.0179146904710399,0,8213.40938469372,"Intermediate",49
"140320-14",140320,0.0151582772149165,0,10405.6212309651,"Intermediate",50
"140320-15",140320,0.0144095757801958,0,8092.66441676799,"Intermediate",51
"141010-14",141010,0.00829611330667198,0,10073.521405423,"Intermediate",52
"141000-15",141000,0.00790787502243446,0,8209.88211201429,"Intermediate",53
"141130-14",141130,0.00577178655317101,0,11875.072985178,"Intermediate",54
"140060-14",140060,0.00272530477866524,0,13851.1246432147,"Intermediate",55
"140980-15",140980,0,0,7682.95769359106,"Migrant",56
"140910-14",140910,0,0,9137.7760877783,"Migrant",57
"140340-15",140340,0,0,9400.89901193503,"Migrant",58
"141000-14",141000,0,0,9443.75461997293,"Migrant",59
"140340-14",140340,0,0,10262.4643751924,"Migrant",60
"140300-14",140300,0,0,10431.1954397402,"Migrant",61
"141160-14",141160,0,0,10608.9899786428,"Migrant",62
"140850-14",140850,0,0,10632.7887516437,"Migrant",63
"141150-14",141150,0,0,11441.2862600277,"Migrant",64
"140040-15",140040,0,0,11485.204256347,"Migrant",65
"150360-15",150360,0,0,11642.8028784454,"Migrant",66
"141120-14",141120,0,0,11895.7360503058,"Migrant",67
"140800-15",140800,0,0,12064.166920437,"Migrant",68
"141160-15",141160,0,0,12202.1452291834,"Migrant",69
"140300-15",140300,0,0,12252.7908443865,"Migrant",70
"140800-14",140800,0,0,13017.4396359056,"Migrant",71
"140560-14",140560,0,0,14000.260724982,"Migrant",72
"140120-15",140120,0,0,14004.2909699991,"Migrant",73
"141120-15",141120,0,0,14728.0161803434,"Migrant",74
"141150-15",141150,0,0,15490.1205538914,"Migrant",75
